HON. ONYEJEOCHA NKIRUKA  CHIDUBEM,Abia,Isuikwuato/Umunneochi,(Federal Constituency),Peoples Democratic Party
HON. UKEJE NNENNA  IJEOMA,Abia,Bende,(Federal Constituency),Peoples Democratic Party
HON. OHAJURUKA STANLEY UGOCHUKWU,Abia,Umuahia North/South,(Federal Constituency),Peoples Progressive Alliance (PPA)
HON. IKE CHINYERE FERDINAND,Abia,Isiala Ngwa North/south,(Federal Constituency),Peoples Democratic Party
HON. UBANI  EZIUCHE CHINWE,Abia,Obingwa/osisioma/Ugwumagbo,(Federal Constituency),Peoples Democratic Party
HON. AZUBUIKE UZO CHARLES,Abia,Aba North / Aba South,(Federal Constituency),Peoples Democratic Party
HON. IBEJI UDO OLUCHI,Abia,Umahia North/South/Ikwuaro,(Federal Constituency),Peoples Democratic Party
HON. ARUNSI ARUA,Abia,Arochukwu/Ohafia,(Federal Constituency),Peoples Democratic Party
HON. ABONTA UZOMA NKEM,Abia,Ukwa East/West,(Federal Constituency),Peoples Democratic Party
HON. GANAMA TITSI KWAGA,Adamawa,Madagali/Michika,(Federal Constituency),Peoples Democratic Party
HON. WAMBAI ABUBAKAR MAHMUD,Adamawa,Mubi North / Mubi South / Maiha,(Federal Constituency),All Progressives Congress
HON. MADWATTE ANTHONY   LAZARUS,Adamawa,Demsa/Numan/Lamurde,(Federal Constituency),Peoples Democratic Party
HON. NATHANIEL GIBSON KAUDA,Adamawa,Guyuk/Shelleng,(Federal Constituency),Peoples Democratic Party
HON. HANANIYA HASKE FRANCIS,Adamawa,Gombi/Hong,(Federal Constituency),Peoples Democratic Party
HON. NWANGUBI AHMED FONS,Adamawa,Mayo Belwa/Jada/Ganye/Toongo,(Federal Constituency),Peoples Democratic Party
HON. DAHIRU AISHA AHMED,Adamawa,Yola North/Yola South & Girei,(Federal Constituency),Peoples Democratic Party
HON. HAMMANTUKUR AMINU RIBADU,Adamawa,Fufore/Song Federal Constituency,(Federal Constituency),Peoples Democratic Party
HON. EKPENYONG EMMANUEL ETIM,Akwa Ibom,Uyo,(Federal Constituency),All Progressives Congress
HON. UDOH SAVIOUR FRIDAY,Akwa Ibom,"Ikot Ekpene, Essien Udim, Obot Akara",(Federal Constituency),Peoples Democratic Party
HON. UMOH AKPAN MICAH,Akwa Ibom,"Ikot Abasi, Mkat Enin, Eastern Obolo",(Federal Constituency),Peoples Democratic Party
HON. UWAK ROBINSON EDET,Akwa Ibom,Oron/Mbo/Okobo/Urefong/udung-Uko,(Federal Constituency),Peoples Democratic Party
HON. UKOETE EMMANUEL ISSAC,Akwa Ibom,Ukanafun/Orukaanam,(Federal Constituency),Peoples Democratic Party
HON. ARCHIBONG KENNETH EDET,Akwa Ibom,Itu,(Federal Constituency),Peoples Democratic Party
HON. EKON EMMANUEL BARTHOLOMEW,Akwa Ibom,Abak/Etim Ekpo & Ika,(Federal Constituency),Peoples Democratic Party
HON. EFFIONG DANIEL AKPAN,Akwa Ibom,Etinan,(Federal Constituency),Peoples Democratic Party
HON. UDOKA INI AKPAN,Akwa Ibom,Ini /Ikono,(Federal Constituency),Peoples Democratic Party
HON. DAN-ABIA BASSEY,Akwa Ibom,Eket/Onna/Esit Eket/Ibeno,(Federal Constituency),Peoples Democratic Party
HON. ODEDO CHARLES C.,Anambra,Idemili North/Idemili,(Federal Constituency),All Progressives Congress
HON. OBIDIGWE CHIZOR LAMBERT,Anambra,Ayamelum / Oyi,(Federal Constituency),Peoples Democratic Party
HON. OGENE VICTOR AFAMUEFUNA,Anambra,Ogbaru,(Federal Constituency),All Progressives Grand Alliance
HON. AZUBOGU CHRIS EMEKA IFEANYI,Anambra,Nnewi North / South & Ekwusigo,(Federal Constituency),All Progressives Grand Alliance
HON. NWOGBO CHUKWUEMEKA EMMANUEL,Anambra, Awka North & South,(Federal Constituency),All Progressives Grand Alliance
HON. NWANKWO BEN NNEBEDUMCHUKWU,Anambra,Orumba South,(Federal Constituency),Peoples Democratic Party
HON. EKWUNIFE UCHE LILIAN,Anambra,Anocha/Njikoka/Dunukofia,(Federal Constituency),All Progressives Grand Alliance
HON. AMEKE CHRISCATO IKECHUKWU,Anambra,Anambra East/West,(Federal Constituency),Peoples Democratic Party
HON. EGWUATU CYRIL,Anambra,Onitsha North/South Federal,(Federal Constituency),All Progressives Grand Alliance
HON. DIKE FORT IFEANYI,Anambra,Ihiala,(Federal Constituency),Peoples Democratic Party
HON. EUCHARIA AZODO OKWUNNA,Anambra,Aguata,(Federal Constituency),Peoples Democratic Party
HON. DOGARA YAKUBU,Bauchi,Bogoro/Dass/Tafawa Balewa,(Federal Constituency),All Progressives Congress
HON. ADAMU MOHAMMED TUKUR,Bauchi,ALKALERI/KIRFI,(Federal Constituency),Peoples Democratic Party
HON. GEBI ALIYU IBRAHIM,Bauchi,Bauchi,(Federal Constituency),All Progressives Congress
HON. MOHAMMED ISA HASSAN,Bauchi,JAMAARE/ITAS-GADAU,(Federal Constituency),Peoples Democratic Party
HON. SALEH AUWALU DAHIRU,Bauchi,Katagum,(Federal Constituency),All Progressives Congress
HON. ABDULRAZAK  NUHU ZAKI,Bauchi,NINGI/WARJI,(Federal Constituency),Peoples Democratic Party
HON. AUWAL MOHAMMED JATAU,Bauchi,Zaki,(Federal Constituency),Peoples Democratic Party
HON. GURAI ADAMU,Bauchi,Shira/Giade,(Federal Constituency),All Progressives Congress
HON. AHMED ABUBAKAR MISAU,Bauchi,Misau/ Dambam,(Federal Constituency),Peoples Democratic Party
HON. GUMAU LAWAL YAHAYA,Bauchi,Toro,(Federal Constituency),All Progressives Congress
HON. SADE UMAR ABUBAKAR,Bauchi,Darazo/Ganjuwa,(Federal Constituency),Peoples Democratic Party
HON. GOLOLO MADAKI AHMED,Bauchi,Gamawa,(Federal Constituency),Peoples Democratic Party
HON. OGORIBA WARMAN WERI,Bayelsa,Yenagoa/K/Opokuma,(Federal Constituency),Peoples Democratic Party
HON. JEPHTHAH FOINGHA,Bayelsa,Brass / Nembe,(Federal Constituency),Peoples Democratic Party
HON. DANIEL-OFONGO HENRY ALADEINYEFA,Bayelsa,Southern Ijaw,(Federal Constituency),Peoples Democratic Party
HON. KARIBO NADU SOALABOYE,Bayelsa,Ogbia,(Federal Constituency),Peoples Democratic Party
HON. DORGU STELLA OLUWAROTIMI AYAMARA,Bayelsa,Sagbama/Ekeremor,(Federal Constituency),Peoples Democratic Party
HON. OKWU SAMSON,Benue,Oju / Obi,(Federal Constituency),Peoples Democratic Party
HON. ADAJI AWULU EZEKIEL,Benue,OTUKPO/OHIMINI,(Federal Constituency),Peoples Democratic Party
HON. SALEH HASSAN ANTHONY,Benue,ADO/OGBADIBO/OKPOKWU,(Federal Constituency),Peoples Democratic Party
HON. ENTONU ADAMU OCHEPO,Benue,APA/AGATU,(Federal Constituency),Peoples Democratic Party
HON. DYEGH JOHN,Benue,GBOKO/TARKA,(Federal Constituency),All Progressives Congress
HON. JIME EMMANUEL,Benue,MAKURDI/GUMA,(Federal Constituency),All Progressives Congress
HON. ALAAGA CHRISTINA  DEMNENGE,Benue,Gwer East/Gwer West,(Federal Constituency),Peoples Democratic Party
HON. IORWASE HEMBE  HERMAN,Benue,Konshisha/Vandekiya,(Federal Constituency),Peoples Democratic Party
HON. ABOHO BENJAMIN ITYOKUMBA,Benue,Kwande/Ushongo,(Federal Constituency),Peoples Democratic Party
