SEN. ENYINNAYA HARCOURT,ABARIBE,Abia,Abia South (Senatorial District),Peoples Democratic Party
SEN. NKECHI  JUSTINA,NWAOGU,Abia,Abia Central  (Senatorial District),Peoples Democratic Party
SEN. UCHE,CHUKWUMERIJE,Abia,Abia North  (Senatorial District),Peoples Democratic Party
SEN. PHILIP TANIMU,ADUDA,Abuja FCT,FCT (Senatorial District),Peoples Democratic Party
SEN. BINDAWA MUHAMMED,JIBRILLA,Adamawa,Adamawa North (Senatorial District),All Progressives Congress
SEN. BARRATA,MOHAMMED,Adamawa,Adamawa South (Senatorial District),Peoples Democratic Party
SEN. BELLO MOHAMMED,TUKUR,Adamawa,Adamawa Central (Senatorial District),Peoples Democratic Party
SEN. ALOYSIUS AKPAN,ETOK,Akwa Ibom,Akwa Ibom North  (Senatorial District),Peoples Democratic Party
SEN. ITA SOLOMON  JAMES,ENANG,Akwa Ibom,Akwa Ibom North East (Senatorial District),Peoples Democratic Party
SEN. HELEN UDOAKAHA,ESUENE,Akwa Ibom,Akwa Ibom South (Senatorial District),Peoples Democratic Party
SEN. CHRIS NWABUEZE,NGIGE,Anambra,Anambra Central (Senatorial District),All Progressives Congress
SEN. ANDY EMMANUEL NNAMDI,UBA,Anambra,Anambra South (Senatorial District),Peoples Democratic Party
SEN. MARGERY CHIBOGU,CHUBA-OKADIGBO,Anambra,Anambra North (Senatorial District),Peoples Democratic Party
SEN. ADAMU IBRAHIM,GUMBA,Bauchi,Bauchi South (Senatorial District),Peoples Democratic Party
SEN. AHMED ABDUL,NINGI,Bauchi,Bauchi Central (Senatorial District),Peoples Democratic Party
SEN. BABAYE GAMAWA,GARBA,Bauchi,Bauchi North (Senatorial District),Peoples Democratic Party
SEN. LOKPOBIRI,HEINEKEN,Bayelsa,Bayelsa West  (Senatorial District),Peoples Democratic Party
SEN. PAULKER IZIBEFIEN,EMMANUEL,Bayelsa,Bayelsa Central (Senatorial District),Peoples Democratic Party
SEN. CLEVER MARCUS,IKISIKPO,Bayelsa,Bayelsa East (Senatorial District),Peoples Democratic Party
SEN. GEORGE,AKUME,Benue,Benue North West (Senatorial District),All Progressives Congress
SEN. BARNABAS ANDYAR IYORHER,GEMADE,Benue,Benue North East (Senatorial District),Peoples Democratic Party
,,Anambra, (Senatorial District),Peoples Democratic Party
SEN. MAINA  MA'AJI,LAWAN,Borno,Borno North (Senatorial District),All Progressives Congress
SEN. AHMED KHALIFA,ZANNA,Borno,Borno Central (Senatorial District),Peoples Democratic Party
SEN. MOHAMMED ALI,NDUME,Borno,Borno South (Senatorial District),All Progressives Congress
SEN. VICTOR  NDOMA,EGBA,Cross River,Cross River Central (Senatorial District),Peoples Democratic Party
SEN. BENEDICT BENGIOUSHUYE,AYADE,Cross River,Cross River North (Senatorial District),Peoples Democratic Party
SEN. EDET BASSEY,OTU,Cross River,Cross River South (Senatorial District),Peoples Democratic Party
SEN. JAMES  EBIOWOU,MANAGER,Delta,Delta South (Senatorial District),Peoples Democratic Party
SEN. OKOWA IFANYI,ARTHUR,Delta,Delta South (Senatorial District),Peoples Democratic Party
SEN. EDESIRI .E,AGUARIAVWODO,Delta,Delta Central (Senatorial District),Peoples Democratic Party
SEN. IGWE PAULINUS,NWAGU,Ebonyi,Ebonyi Central (Senatorial District),Peoples Democratic Party
SEN. SUNDAY OJI,OGBUOJI,Ebonyi,Ebonyi North (Senatorial District),Peoples Democratic Party
SEN. CHRIS  CHUKWUMA,NWANKWO,Ebonyi,Ebonyi South (Senatorial District),Peoples Democratic Party
