HON. NKIRUKA CHIDUBEM ONYEJEOCHA, Peoples Democratic Party, ABIA
HON. NNENNA IJEOMA UKEJE, Peoples Democratic Party, ABIA
HON. STANLEY UGOCHUKWU OHAJURUKA, Peoples Progressive Alliance (PPA), ABIA
HON. CHINYERE FERDINAND IKE, Peoples Democratic Party, ABIA
HON. EZIUCHE CHINWE UBANI , Peoples Democratic Party, ABIA
HON. UZO CHARLES AZUBUIKE, Peoples Democratic Party, ABIA
HON. UDO OLUCHI IBEJI, Peoples Democratic Party, ABIA
HON. ARUA ARUNSI, Peoples Democratic Party, ABIA
HON. UZOMA NKEM ABONTA, Peoples Democratic Party, ABIA
HON. TITSI KWAGA GANAMA, Peoples Democratic Party, ADAMAWA
HON. ABUBAKAR MAHMUD WAMBAI, All Progressives Congress, ADAMAWA
HON. ANTHONY LAZARUS MADWATTE, Peoples Democratic Party, ADAMAWA
HON. GIBSON KAUDA NATHANIEL, Peoples Democratic Party, ADAMAWA
HON. HASKE FRANCIS HANANIYA, Peoples Democratic Party, ADAMAWA
HON. AHMED FONS NWANGUBI, Peoples Democratic Party, ADAMAWA
HON. AISHA AHMED DAHIRU, Peoples Democratic Party, ADAMAWA
HON. AMINU RIBADU HAMMANTUKUR, Peoples Democratic Party, ADAMAWA
HON. EMMANUEL ETIM EKPENYONG, All Progressives Congress, AKWA IBOM
HON. SAVIOUR FRIDAY UDOH, Peoples Democratic Party, AKWA IBOM
HON. AKPAN MICAH UMOH, Peoples Democratic Party, AKWA IBOM
HON. ROBINSON EDET UWAK, Peoples Democratic Party, AKWA IBOM
HON. EMMANUEL ISSAC UKOETE, Peoples Democratic Party, AKWA IBOM
HON. KENNETH EDET ARCHIBONG, Peoples Democratic Party, AKWA IBOM
HON. EMMANUEL BARTHOLOMEW EKON, Peoples Democratic Party, AKWA IBOM
HON. DANIEL AKPAN EFFIONG, Peoples Democratic Party, AKWA IBOM
HON. INI AKPAN UDOKA, Peoples Democratic Party, AKWA IBOM
HON. BASSEY DAN-ABIA, Peoples Democratic Party, AKWA IBOM
HON. CHARLES C. ODEDO, All Progressives Congress, ANAMBRA
HON. CHIZOR LAMBERT OBIDIGWE, Peoples Democratic Party, ANAMBRA
HON. VICTOR AFAMUEFUNA OGENE, All Progressives Grand Alliance, ANAMBRA
HON. CHRIS EMEKA IFEANYI AZUBOGU, All Progressives Grand Alliance, ANAMBRA
HON. CHUKWUEMEKA EMMANUEL NWOGBO, All Progressives Grand Alliance, ANAMBRA
HON. BEN NNEBEDUMCHUKWU NWANKWO, Peoples Democratic Party, ANAMBRA
HON. UCHE LILIAN EKWUNIFE, All Progressives Grand Alliance, ANAMBRA
HON. CHRISCATO IKECHUKWU AMEKE, Peoples Democratic Party, ANAMBRA
HON. CYRIL EGWUATU, All Progressives Grand Alliance, ANAMBRA
HON. FORT IFEANYI DIKE, Peoples Democratic Party, ANAMBRA
HON. AZODO OKWUNNA EUCHARIA, Peoples Democratic Party, ANAMBRA
HON. YAKUBU DOGARA, All Progressives Congress, BAUCHI
HON. MOHAMMED TUKUR ADAMU, Peoples Democratic Party, BAUCHI
HON. ALIYU IBRAHIM GEBI, All Progressives Congress, BAUCHI
HON. ISA HASSAN MOHAMMED, Peoples Democratic Party, BAUCHI
HON. AUWALU DAHIRU SALEH, All Progressives Congress, BAUCHI
HON. NUHU ZAKI ABDULRAZAK , Peoples Democratic Party, BAUCHI
HON. MOHAMMED JATAU AUWAL, Peoples Democratic Party, BAUCHI
HON. ADAMU GURAI, All Progressives Congress, BAUCHI
HON. ABUBAKAR MISAU AHMED, Peoples Democratic Party, BAUCHI
HON. LAWAL YAHAYA GUMAU, All Progressives Congress, BAUCHI
HON. UMAR ABUBAKAR SADE, Peoples Democratic Party, BAUCHI
HON. MADAKI AHMED GOLOLO, Peoples Democratic Party, BAUCHI
HON. WARMAN WERI OGORIBA, Peoples Democratic Party, BAYELSA
HON. FOINGHA JEPHTHAH, Peoples Democratic Party, BAYELSA
HON. HENRY ALADEINYEFA DANIEL-OFONGO, Peoples Democratic Party, BAYELSA
HON. NADU SOALABOYE KARIBO, Peoples Democratic Party, BAYELSA
HON. STELLA OLUWAROTIMI AYAMARA DORGU, Peoples Democratic Party, BAYELSA
HON. SAMSON OKWU, Peoples Democratic Party, BENUE
HON. AWULU EZEKIEL ADAJI, Peoples Democratic Party, BENUE
HON. HASSAN ANTHONY SALEH, Peoples Democratic Party, BENUE
HON. ADAMU OCHEPO ENTONU, Peoples Democratic Party, BENUE
HON. JOHN DYEGH, All Progressives Congress, BENUE
HON. EMMANUEL JIME, All Progressives Congress, BENUE
HON. CHRISTINA DEMNENGE ALAAGA, Peoples Democratic Party, BENUE
HON. HEMBE HERMAN IORWASE, Peoples Democratic Party, BENUE
HON. BENJAMIN ITYOKUMBA ABOHO, Peoples Democratic Party, BENUE
