 SEN.       ENYINNAYA HARCOURT ABARIBE, Peoples Democratic Party, ABIA
 SEN.       NKECHI  JUSTINA  NWAOGU , Peoples Democratic Party, ABIA
 SEN.       UCHE  CHUKWUMERIJE, Peoples Democratic Party, ABIA
 SEN.       PHILIP TANIMU ADUDA, Peoples Democratic Party, ABUJA
 SEN.       BINDAWA MUHAMMED JIBRILLA, All Progressives Congress, ADAMAWA
 SEN.       BARRATA  MOHAMMED, Peoples Democratic Party, ADAMAWA
 SEN.       BELLO MOHAMMED TUKUR, Peoples Democratic Party, ADAMAWA
 SEN.       ALOYSIUS AKPAN  ETOK, Peoples Democratic Party, AKWA
 SEN.       ITA SOLOMON  JAMES ENANG, Peoples Democratic Party, AKWA
 SEN.       HELEN UDOAKAHA ESUENE, Peoples Democratic Party, AKWA
 SEN.       CHRIS NWABUEZE NGIGE, All Progressives Congress, ANAMBRA
 SEN.       ANDY EMMANUEL NNAMDI UBA, Peoples Democratic Party, ANAMBRA
 SEN.       MARGERY CHIBOGU CHUBA-OKADIGBO, Peoples Democratic Party, ANAMBRA
 SEN.       ADAMU IBRAHIM GUMBA, Peoples Democratic Party, BAUCHI
 SEN.       AHMED ABDUL NINGI, Peoples Democratic Party, BAUCHI
 SEN.       BABAYE GAMAWA GARBA, Peoples Democratic Party, BAUCHI
 SEN.       LOKPOBIRI  HEINEKEN, Peoples Democratic Party, BAYELSA
 SEN.       PAULKER IZIBEFIEN EMMANUEL , Peoples Democratic Party, BAYELSA
 SEN.       CLEVER MARCUS IKISIKPO, Peoples Democratic Party, BAYELSA
 SEN.       GEORGE  AKUME  , All Progressives Congress, BENUE
 SEN.       BARNABAS ANDYAR IYORHER GEMADE, Peoples Democratic Party, BENUE
 SEN.       DAVID A.B MARK, Peoples Democratic Party, BENUE
 SEN.       MAINA  MA'AJI  LAWAN, All Progressives Congress, BORNO
 SEN.       AHMED KHALIFA ZANNA, Peoples Democratic Party, BORNO
 SEN.       MOHAMMED ALI NDUME, All Progressives Congress, BORNO
 SEN.       VICTOR  NDOMA EGBA  , Peoples Democratic Party, CROSS
 SEN.       BENEDICT BENGIOUSHUYE AYADE, Peoples Democratic Party, CROSS
 SEN.       EDET BASSEY OTU, Peoples Democratic Party, CROSS
 SEN.       JAMES  EBIOWOU MANAGER, Peoples Democratic Party, DELTA
 SEN.       OKOWA IFANYI ARTHUR, Peoples Democratic Party, DELTA
 SEN.       EDESIRI .E  AGUARIAVWODO, Peoples Democratic Party, DELTA
 SEN.       IGWE PAULINUS NWAGU, Peoples Democratic Party, EBONYI
 SEN.       SUNDAY OJI OGBUOJI, Peoples Democratic Party, EBONYI
 SEN.       CHRIS  CHUKWUMA  NWANKWO, Peoples Democratic Party, EBONYI
 SEN.       EHIGIE  EDOBOR  UZAMERE , Peoples Democratic Party, EDO
 SEN.       ODION  MAGNUS UGBESIA , Peoples Democratic Party, EDO
 SEN.       DOMINGO ALABA OBENDE, All Progressives Congress, EDO
 SEN.       OLUBUNMI  ADETUNMBI, All Progressives Congress, EKITI
 SEN.       BABAFEMI  OJUDU, All Progressives Congress, EKITI
 SEN.       ANTHONY ADEMUYIWA ADENIYI, All Progressives Congress, EKITI
